French,English
partie,part
histoire,history
seulement,only
police,police
demande,request
genre,kind
laisser,let
car,because
mettre,to put
laisse,leash
eux,them
ville,city
parlé,speak
arrivé,come
devrait,should
bébé,baby
vont,will
aucune,any
étaient,were
affaire,case
donné,given
train,train
endroit,place
façon,way
écoute,listen
dont,whose
premier,first
perdu,lost
main,hand
côté,side
sois,be
tiens,here
tellement,so much
enfant,child
point,point
suite,after
aujourd'hui,today
mari,husband
enfin,finally
attendez,Wait
nouvelle,new
compte,account
donne,given
loin,far
croire,believe
aura,will have
filles,girls
jouer,to play
bureau,office
